demand_heat;supply_wood
11,35077778;0
11,31064877;0
11,24185617;27,77777778
12,966055;27,77777778
14,24917187;27,77777778
15,11987036;27,77777778
15,5552196;27,77777778
15,57241775;27,77777778
15,1714648;27,77777778
14,33516261;27,77777778
13,06924389;27,77777778
11,35651049;0
11,4310358;0
11,51129383;0
11,58581914;0
11,73486975;0
11,7520679;0
11,83232593;0
11,91831667;0
12,00430741;0
12,0387037;0
12,07883272;0
12,10176358;0
12,12469444;0
12,11322901;0
11,94124753;0
11,42530309;0
10,91509136;0
10,7144463;0
10,06091667;0
9,608032099;0
9,550704938;0
9,72268642;0
10,11251111;0
10,26156173;0
10,40487963;0
10,54819753;0
10,69151543;0
10,83483333;0
10,98388395;0
11,12720185;0
11,31064877;0
11,51129383;0
11,70620617;0
11,81512778;0
11,91831667;0
11,99857469;0
12,0731;0
12,08456543;0
12,02723827;0
11,94698025;0
11,86098951;0
11,78073148;0
11,74633519;0
11,73486975;0
11,7520679;0
11,82086049;0
11,90685123;0
12,01577284;0
12,14189259;0
12,23361605;0
12,43426111;0
12,45145926;0
12,56038086;0
12,66930247;0
12,72662963;0
12,81835309;0
12,81835309;0
12,84128395;0
12,86994753;0
12,88714568;0
12,91007654;0
12,91007654;0
12,81835309;0
12,69223333;27,77777778
12,81733026;27,77777778
12,90255387;27,77777778
12,96510233;27,77777778
12,98777749;27,77777778
12,99924292;27,77777778
13,00523135;27,77777778
12,97134647;27,77777778
12,82879569;27,77777778
12,62917346;0
12,82981852;0
12,70369877;0
12,70369877;0
12,73236235;0
12,75529321;0
12,81262037;0
12,91580926;0
12,79542222;0
12,77822407;0
12,77822407;0
12,77249136;0
12,77249136;0
12,76102593;0
12,62917346;0
12,45145926;27,77777778
12,50776359;27,77777778
12,52992733;27,77777778
12,54661406;27,77777778
12,54062564;27,77777778
12,54635836;27,77777778
12,57527764;27,77777778
12,57005634;27,77777778
12,46190186;27,77777778
12,30240864;0
12,36546852;0
12,43426111;0
12,49732099;0
12,56038086;0
12,62917346;0
12,72089691;0
12,78395679;0
12,84128395;0
12,85274938;0
12,86421481;0
12,8584821;0
12,8584821;0
12,81835309;0
12,23934877;0
11,40810494;27,77777778
10,77075063;27,77777778
10,07632486;27,77777778
9,806375791;27,77777778
9,943705269;27,77777778
10,22460836;27,77777778
10,56882703;27,77777778
10,89610326;27,77777778
11,00579198;27,77777778
11,05840926;0
11,33931235;0
11,62021543;0
11,90111852;0
12,1820216;0
12,46292469;0
13,01326543;0
13,64959691;0
14,2859284;0
14,64135679;0
15,0025179;0
15,27195556;0
15,53566049;0
15,62165123;0
15,66178025;0
15,73057284;27,77777778
16,70332994;27,77777778
17,37700378;27,77777778
17,87771412;27,77777778
18,15386651;27,77777778
18,22839182;27,77777778
18,11275547;27,77777778
