demand_el;generation_pv_normalised
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,131424716
1,21;0,257840909
1,21;0,426150568
1,21;0,325014205
1,21;0,18421875
1,21;0,318196023
1,21;0,26671875
1,21;0,222002841
1,21;0,06062358
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,288394886
1,21;0,275298295
1,633685056;0,648551136
1,951448848;0,599659091
2,163291376;0,223522727
2,26921264;0,447017045
2,26921264;0,122434659
2,163291376;0,060088068
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,322798295
1,21;0,510809659
1,633685056;0,643721591
1,951448848;0,735582386
2,163291376;0,678565341
2,26921264;0,589758523
2,26921264;0,422514205
2,163291376;0,227286932
1,951448848;0,048480114
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,025714489
1,21;0,041627841
1,633685056;0,04525
1,951448848;0,096721591
2,163291376;0,115625
2,26921264;0,105815341
2,26921264;0,089867898
2,163291376;0,042338068
1,951448848;0,006266903
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,003861364
1,21;0,015181818
2,692897696;0,028647727
3,805070968;0,038744318
4,546519816;0,037105114
4,91724424;0,032910511
4,91724424;0,016609375
4,546519816;0,005830966
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,001729119
1,21;0
1,21;0,092974432
4,016913496;0,012743608
6,122098618;0,037379261
7,525555366;0,506477273
8,22728374;0,555170455
8,22728374;0,421619318
7,525555366;0,039176136
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,215198864
1,21;0,144460227
1,21;0,494943182
1,21;0,838480114
1,21;0,606051136
1,21;0,128170455
1,21;0,208806818
1,21;0,076237216
1,21;0,015480114
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,002943182
1,21;0,204957386
1,21;0,340511364
1,21;0,415355114
1,21;0,442357955
1,21;0,43046875
1,21;0,36390625
1,21;0,275284091
1,21;0,150440341
1,21;0,03043892
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,054725852
1,21;0,191690341
1,21;0,308522727
1,633685056;0,406889205
1,951448848;0,476235795
2,163291376;0,420738636
2,26921264;0,347528409
2,26921264;0,245241477
2,163291376;0,147528409
1,951448848;0,032079545
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,098257102
1,21;0,293238636
1,21;0,466761364
1,633685056;0,592528409
1,951448848;0,589090909
2,163291376;0,549488636
2,26921264;0,431079545
2,26921264;0,286178977
2,163291376;0,158536932
1,951448848;0,03196733
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,07378267
1,21;0,236335227
1,21;0,422372159
1,633685056;0,514431818
1,951448848;0,549431818
2,163291376;0,491690341
2,26921264;0,430369318
2,26921264;0,277215909
2,163291376;0,12912642
1,951448848;0,029579545
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,006979119
1,21;0,069143466
1,21;0,137147727
2,692897696;0,19140625
3,805070968;0,213721591
4,546519816;0,201605114
4,91724424;0,15984375
4,91724424;0,126582386
4,546519816;0,068606534
3,805070968;0,01057571
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,090707386
4,016913496;0,155568182
6,122098618;0,509019886
7,525555366;0,284545455
8,22728374;0,190213068
8,22728374;0,181079545
7,525555366;0,122129261
7,525555366;0,026245739
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,102267045
1,21;0,311178977
1,21;0,517684659
1,21;0,663394886
1,21;0,714801136
1,21;0,679119318
1,21;0,573309659
1,21;0,417088068
1,21;0,16875
1,21;0,050767045
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,02762358
1,21;0,119299716
1,21;0,229801136
1,21;0,279119318
1,21;0,326292614
1,21;0,292556818
1,21;0,224673295
1,21;0,167855114
1,21;0,084382102
1,21;0,011572159
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,063616477
1,21;0,205198864
1,21;0,361534091
1,633685056;0,464900568
1,951448848;0,500227273
2,163291376;0,478238636
2,26921264;0,407485795
2,26921264;0,290426136
2,163291376;0,147116477
1,951448848;0,040678977
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,026072443
1,21;0,095978693
1,21;0,155880682
1,633685056;0,240809659
1,951448848;0,233110795
2,163291376;0,207215909
2,26921264;0,201576705
2,26921264;0,146974432
2,163291376;0,079181818
1,951448848;0,018917614
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,062674716
1,21;0,163423295
1,21;0,260454545
1,633685056;0,374715909
1,951448848;0,398821023
2,163291376;0,372386364
2,26921264;0,361434659
2,26921264;0,287883523
2,163291376;0,158068182
1,951448848;0,053602273
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,120786932
1,21;0,093147727
2,692897696;0,273721591
3,805070968;0,299943182
4,546519816;0,1575
4,91724424;0,501633523
4,91724424;0,135887784
4,546519816;0,087886364
3,805070968;0,002654972
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,019008523
1,21;0,085045455
1,21;0,13781108
4,016913496;0,182173295
6,122098618;0,234488636
7,525555366;0,192599432
8,22728374;0,176164773
8,22728374;0,135221591
7,525555366;0,078053977
7,525555366;0,0193125
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,055545455
1,21;0,256960227
1,21;0,400255682
1,21;0,761335227
1,21;0,467855114
1,21;0,333494318
1,21;0,275696023
1,21;0,183778409
1,21;0,165411932
1,21;0,048673295
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,017171875
1,21;0,137987216
1,21;0,339460227
1,21;0,326164773
1,21;0,360184659
1,21;0,454715909
1,21;0,528451705
1,21;0,436178977
1,21;0,186278409
1,21;0,054911932
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,035346591
1,21;0,17484375
1,21;0,2925
1,633685056;0,370440341
1,951448848;0,468920455
2,163291376;0,419460227
2,26921264;0,315696023
2,26921264;0,2609375
2,163291376;0,153778409
1,951448848;0,051809659
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,045673295
1,21;0,127387784
1,21;0,254644886
1,633685056;0,298806818
1,951448848;0,339048295
2,163291376;0,251122159
2,26921264;0,237386364
2,26921264;0,183607955
2,163291376;0,100857955
1,951448848;0,028995739
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,217940341
1,21;0,471889205
1,21;0,669403409
1,633685056;0,799744318
1,951448848;0,84359375
2,163291376;0,768806818
2,26921264;0,641335227
2,26921264;0,48984375
2,163291376;0,2178125
1,951448848;0,072869318
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,228636364
1,21;0,486960227
1,21;0,686079545
5,57925214;0,817173295
8,856191245;0,842571023
11,04081731;0,773039773
12,13313035;0,650454545
12,13313035;0,501122159
11,04081731;0,220965909
8,856191245;0,066819602
5,57925214;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,035863636
1,21;0,135556818
1,21;0,203494318
4,016913496;0,262684659
6,122098618;0,265383523
7,525555366;0,2471875
8,22728374;0,219957386
8,22728374;0,178196023
7,525555366;0,131305398
7,525555366;0,046954545
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,177997159
1,21;0,26109375
1,21;0,469957386
1,21;0,592386364
1,21;0,816221591
1,21;0,290056818
1,21;0,209758523
1,21;0,234105114
1,21;0,010186364
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,046772727
1,21;0,138759943
1,21;0,190170455
1,21;0,210880682
1,21;0,310610795
1,21;0,272059659
1,21;0,193508523
1,21;0,177073864
1,21;0,11946875
1,21;0,04184233
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,07134517
1,21;0,213409091
1,21;0,369261364
1,633685056;0,348423295
1,951448848;0,431306818
2,163291376;0,303267045
2,26921264;0,322613636
2,26921264;0,24609375
2,163291376;0,146534091
1,951448848;0,038664773
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,002852415
1,21;0,004253693
1,21;0,072559659
1,633685056;0,221349432
1,951448848;0,188835227
2,163291376;0,229289773
2,26921264;0,367102273
2,26921264;0,229602273
2,163291376;0,126225852
1,951448848;0,05590767
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,04828125
1,21;0,142613636
1,633685056;0,209573864
1,951448848;0,322230114
2,163291376;0,350056818
2,26921264;0,318508523
2,26921264;0,216150568
2,163291376;0,152144886
1,951448848;0,057822443
